ID,Block
30964,487847
30963,487842
30962,487836
30961,487834
30960,487831
30959,487830
30958,487807
30957,487801
30956,487784
30955,487782
30954,487777
30953,487768
30952,487765
30951,487747
30950,487720
30949,487711
30948,487673
30947,487668
30946,487667
30945,487644
30944,487621
30943,487575
30942,487574
30941,487549
30940,487543
30939,487539
30938,487501
30937,487482
30936,487478
30935,487470
30934,487466
30933,487432
30932,487388
30931,487361
30930,487357
30929,487343
30928,487342
30927,487335
30926,487325
30925,487317
30924,487306
30923,487289
30922,487287
30921,487277
30920,487272
30919,487222
30918,487220
30917,487216
30916,487188
30915,487184
30914,487163
30913,487160
30912,487155
30911,487154
30910,487139
30909,487134
30908,487109
30907,487097
30906,487048
30905,487045
30904,487044
30903,487002
30902,486992
30901,486974
30900,486971
30899,486953
30898,486929
30897,486918
30896,486910
30895,486905
30894,486884
30893,486869
30892,486868
30891,486834
30890,486828
